JMG,200901011628190.58,S
PWU,200901011628160.88,P
JMG,200901011644220.50,S
PWU,200901011616300.16,S
QCH,200901011644150.33,P
JMG,200901011646010.82,S
QCH,200901011645550.87,S
JJS,200901011658560.39,P
PWU,200901011659000.22,S
JMG,200901011601200.02,S
PWU,200901011601120.74,P
QCH,200901011603320.79,S
JMG,200901010539370.23,S
JMG,200901010724590.23,P
JMG,200901010458330.46,S
PWU,200901010110200.76,S
PWU,200901010248190.57,P
QCH,200901010458280.49,S
JMG,200901011628190.58,S
PWU,200901011628160.88,P
JMG,200901011644220.50,S
PWU,200901011616300.16,S
QCH,200901011644150.33,P
JMG,200901011646010.82,S
QCH,200901011645550.87,S
JJS,200901011658560.39,P
PWU,200901011659000.22,S
JMG,200901011601200.02,S
PWU,200901011601120.74,P
QCH,200901011603320.79,S
JMG,200901010539370.23,S
JMG,200901010724590.23,P
JMG,200901010458330.46,S
PWU,200901010110200.76,S
PWU,200901010248190.57,P
QCH,200901010458280.49,S
JMG,200901011628190.58,S
PWU,200901011628160.88,P
JMG,200901011644220.50,S
PWU,200901011616300.16,S
QCH,200901011644150.33,P
JMG,200901011646010.82,S
QCH,200901011645550.87,S
JJS,200901011658560.39,P
PWU,200901011659000.22,S
JMG,200901011601200.02,S
PWU,200901011601120.74,P
QCH,200901011603320.79,S
JMG,200901010539370.23,S
JMG,200901010724590.23,P
JMG,200901010458330.46,S
PWU,200901010110200.76,S
PWU,200901010248190.57,P
QCH,200901010458280.49,S
JMG,200901011628190.58,S
PWU,200901011628160.88,P
JMG,200901011644220.50,S
PWU,200901011616300.16,S
QCH,200901011644150.33,P
JMG,200901011646010.82,S
QCH,200901011645550.87,S
JJS,200901011658560.39,P
PWU,200901011659000.22,S
JMG,200901011601200.02,S
PWU,200901011601120.74,P
QCH,200901011603320.79,S
JMG,200901010539370.23,S
JMG,200901010724590.23,P
JMG,200901010458330.46,S
PWU,200901010110200.76,S
PWU,200901010248190.57,P
QCH,200901010458280.49,S
JMG,200901011628190.58,S
PWU,200901011628160.88,P
JMG,200901011644220.50,S
PWU,200901011616300.16,S
QCH,200901011644150.33,P
JMG,200901011646010.82,S
QCH,200901011645550.87,S
JJS,200901011658560.39,P
PWU,200901011659000.22,S
JMG,200901011601200.02,S
PWU,200901011601120.74,P
QCH,200901011603320.79,S
JMG,200901010539370.23,S
JMG,200901010724590.23,P
JMG,200901010458330.46,S
PWU,200901010110200.76,S
PWU,200901010248190.57,P
QCH,200901010458280.49,S
